id_trainer_scenario,id_trainer_params_scenario,id_path,id_generation,id_chromosome,total_accumulated_payoff
0,0,0,12,0,613.4193660300517
0,0,0,12,3,493.6784965605665
0,0,0,12,4,482.5405263905641
0,0,0,12,5,507.9368343145508
0,0,0,12,6,474.2291341269058
0,0,0,12,7,412.9336488540677
0,0,0,12,8,522.3130789527876
0,0,0,12,9,524.0137070384499
0,0,0,12,10,579.4790966320847
0,0,0,12,12,611.0871562963265
0,0,0,12,11,619.67620645816
0,0,0,12,13,596.242325262271
0,0,0,12,14,531.8383359733535
0,0,0,12,15,678.1236977589807
0,0,0,12,16,653.7757785108677
0,0,0,12,17,615.3360042048364
0,0,0,12,19,550.6130942633811
0,0,0,12,18,538.2545101355234
0,0,0,13,0,600.6752253471639
0,0,0,13,1,609.8571069828135
0,0,0,13,2,625.892463043293
0,0,0,13,3,681.50839716708
0,0,0,13,4,613.0643570947326
0,0,0,13,5,539.6255783432424
0,0,0,13,7,370.96392696464073
0,0,0,13,6,566.1340070428234
0,0,0,13,8,595.6377500977437
0,0,0,13,9,603.5169626286892
0,0,0,13,11,606.2703857045849
0,0,0,13,10,619.626335914648
0,0,0,13,13,597.0472099702122
0,0,0,13,12,497.42138624144815
0,0,0,13,15,419.43568972463146
0,0,0,13,14,586.5550070641538
0,0,0,13,16,508.06329564293804
0,0,0,13,17,610.9673533690624
0,0,0,13,18,553.2728921897697
0,0,0,13,19,597.8828789026999
0,0,0,14,1,740.967735421598
0,0,0,14,3,537.720886212707
0,0,0,14,0,618.4470655265471
0,0,0,14,2,546.0066750931406
0,0,0,14,4,611.135235423356
0,0,0,14,7,580.9205783913394
0,0,0,14,5,504.23907435156195
0,0,0,14,6,638.4468345452653
0,0,0,14,8,604.4075202333671
0,0,0,14,9,652.071597730717
0,0,0,14,10,673.7763333588101
0,0,0,14,11,543.7689390721303
0,0,0,14,12,572.3805705033592
0,0,0,14,14,572.51752352119
0,0,0,14,13,516.924248959677
0,0,0,14,16,548.704852914044
0,0,0,14,15,509.7450170905355
0,0,0,14,19,652.9608403856674
0,0,0,14,18,628.9439073312711
0,0,0,14,17,633.0651216970738
